name_en;name_en_metaphone;name_en_metaphone3_primary;name_en_metaphone3_secondary
Indonesia;NTNXXXXX;ANDNJ;ANDNJ
Singapore;SNKPRXXX;SNGPR;SNGPR
El Salvador;LSLFTRXX;ALSLVDR;ALSLVDR
Uganda;KNTXXXXX;AGND;AGND
Uruguay;RKXXXXXX;ARG;ARG
Venezuela (Bolivarian Republic of);FNSLBLFR;VNSLBLVRNRPBLKF;VNSLBLVRNRPBLKF
Germany;JRMNXXXX;JRMN;GRMN
Guam;KMXXXXXX;GM;GM
Macedonia (the former Yugoslav Republic of);MSTN0FRM;MSDN0FRMRGSLVRPBLKF;MSDN0FRMRGSLVRPBLKF
Malawi;MLWXXXXX;ML;ML
Pakistan;PKSTNXXX;PKSTN;PKSTN
Portugal;PRTKLXXX;PRTGL;PRTGL
Canada;KNTXXXXX;KND;KND
Mali;MLXXXXXX;ML;ML
Northern Mariana Islands;NR0RNMRN;NR0RNMRNLNDS;NR0RNMRNLNDS
Sudan;STNXXXXX;SDN;SDN
Barbados;BRBTSXXX;BRBDS;BRBDS
Fiji;FJXXXXXX;FJ;FJ
Kyrgyzstan;KRJSSTNX;KRJSSTN;KRGSSTN
Saint Martin (French part);SNTMRTNF;SNTMRTNFRNXPRT;SNTMRTNFRNKPRT
Mauritania;MRTNXXXX;MRTN;MRTN
Zimbabwe;SMBBWXXX;SMBB;SMBB
Quebec;KBKXXXXX;KBK;KBK
Chile;XLXXXXXX;XL;XL
Croatia;KRXXXXXX;KRX;KRT
Saudi Arabia;STRBXXXX;SDRB;SDRB
American Samoa;MRKNSMXX;AMRKNSM;AMRKNSM
Bermuda;BRMTXXXX;BRMD;BRMD
Congo (Democratic Republic of the);KNKTMKRT;KNGDMKRTKRPBLKF0;KNGDMKRTKRPBLKF0
Costa Rica;KSTRKXXX;KSTRK;KSTRK
Guinea;KNXXXXXX;GN;GN
Isle of Man;SLFMNXXX;ALFMN;ALFMN
Japan;JPNXXXXX;JN;JN
Solomon Islands;SLMNSLNT;SLMNSLNDS;SLMNSLNDS
San Marino;SNMRNXXX;SNMRN;SNMRN
Suriname;SRNMXXXX;SRNM;SRNM
Turks and Caicos Islands;TRKSNTKK;TRKSNDKKSSLNDS;TRKSNDKKSSLNDS
Antigua and Barbuda;NTKNTBRB;ANTGNDBRBD;ANTGNDBRBD
Congo;KNKXXXXX;KNG;KNG
Honduras;HNTRSXXX;HNDRS;HNDRS
Saint Kitts and Nevis;SNTKTSNT;SNTKTSNDNVS;SNTKTSNDNVS
Romania;RMNXXXXX;RMN;RMN
Sao Tome and Principe;STMNTPRN;STMNDPRNSP;STMNDPRNSP
South Africa;S0FRKXXX;S0FRK;S0FRK
Bulgaria;BLKRXXXX;BLGR;BLGR
Brunei Darussalam;BRNTRSLM;BRNDRSLM;BRNDRSLM
Cyprus;SPRSXXXX;SPRS;SPRS
Micronesia (Federated States of);MKRNXFTR;MKRNSFDRTDSTTSF;MKRNSFDRTDSTTSF
Morocco;MRKKXXXX;MRK;MRK
Moldova (Republic of);MLTFRPBL;MLDVRPBLKF;MLDVRPBLKF
Madagascar;MTKSKRXX;MDGSKR;MDGSKR
Mongolia;MNKLXXXX;MNGL;MNGL
Sierra Leone;SRLNXXXX;SRLN;SRLN
Timor-Leste;TMRLSTXX;TMRLST;TMRLST
Viet Nam;FTNMXXXX;VTNM;VTNM
Angola;NKLXXXXX;ANGL;ANGL
Belize;BLSXXXXX;BLS;BLS
Hungary;HNKRXXXX;HNGR;HNGR
Ireland;RLNTXXXX;ARLND;ARLND
Kuwait;KWTXXXXX;KT;KT
Maldives;MLTFSXXX;MLDVS;MLDVS
Niger;NJRXXXXX;NJR;NGR
Nicaragua;NKRKXXXX;NKRG;NKRG
Palestine,State of;PLSTNSTT;PLSTNSTTF;PLSTNSTTF
Taiwan;TWNXXXXX;TN;TN
Argentina;RJNTNXXX;ARJNTN;ARGNTN
Colombia;KLMBXXXX;KLMB;KLMB
Jordan;JRTNXXXX;JDN;ADN
Namibia;NMBXXXXX;NMB;NMB
Serbia;SRBXXXXX;SRB;SRB
Tajikistan;TJKSTNXX;TJKSTN;TJKSTN
Cabo Verde;KBFRTXXX;KBVRD;KBVRD
Georgia;JRJXXXXX;JRJ;GRG
Republic of Kosovo;RPBLKFKS;RPBLKFKSV;RPBLKFKSV
Luxembourg;LKSMBRKX;LKSMBRG;LKSMBRG
Oman;MNXXXXXX;AMN;AMN
Russian Federation;RXNFTRXN;RXNFDRXN;RXNFDRXN
Somalia;SMLXXXXX;SML;SML
Seychelles;SXLSXXXX;SXLS;SKLS
Chad;XTXXXXXX;XD;XD
Tuvalu;TFLXXXXX;TVL;TVL
Andorra;NTRXXXXX;ANDR;ANDR
Bahrain;BRNXXXXX;BRN;BRN
Brazil;BRSLXXXX;BRSL;BRSL
Djibouti;TJBTXXXX;JBT;JBT
Dominica;TMNKXXXX;DMNK;DMNK
Estonia;STNXXXXX;ASTN;ASTN
Guatemala;KTMLXXXX;GTML;GTML
Israel;SRLXXXXX;ASRL;ASRL
Monaco;MNKXXXXX;MNK;MNK
Malta;MLTXXXXX;MLT;MLT
Senegal;SNKLXXXX;SNGL;SNGL
Sint Maarten (Dutch part);SNTMRTNT;SNTMRTNDXPRT;SNTMRTNDXPRT
Vanuatu;FNTXXXXX;VNT;VNT
Aruba;RBXXXXXX;ARB;ARB
Benin;BNNXXXXX;BNN;BNN
Belarus;BLRSXXXX;BLRS;BLRS
Cayman Islands;KMNSLNTS;KMNSLNDS;KMNSLNDS
Gibraltar;JBRLTRXX;JBRLTR;GBRLTR
Guinea-Bissau;KNBSXXXX;GNBS;GNBS
Grenada;KRNTXXXX;GRND;GRND
India;NTXXXXXX;AND;AND
Libya;LBYXXXXX;LB;LB
Saint Lucia;SNTLXXXX;SNTLX;SNTLS
Latvia;LTFXXXXX;LTV;LTV
Korea (Democratic Peoples Republic of);KRTMKRTK;KRDMKRTKPPLSRPBLKF;KRDMKRTKPPLSRPBLKF
South Sudan;S0STNXXX;S0SDN;S0SDN
Trinidad and Tobago;TRNTTNTT;TRNDDNTBG;TRNDDNTBG
Albania;LBNXXXXX;ALBN;ALBN
Bhutan;BHTNXXXX;BTN;BTN
Côte dIvoire;KTTFRXXX;TDVR;TDVR
Sri Lanka;SRLNKXXX;SRLNK;SRLNK
Panama;PNMXXXXX;PNM;PNM
Syrian Arab Republic;SRNRBRPB;SRNRBRPBLK;SRNRBRPBLK
Uzbekistan;SBKSTNXX;ASBKSTN;ASBKSTN
Austria;STRXXXXX;ASTR;ASTR
Egypt;JPTXXXXX;AJPT;AGPT
Eritrea;RTRXXXXX;ARTR;ARTR
Faroe Islands;FRSLNTSX;FRSLNDS;FRSLNDS
Equatorial Guinea;KTRLKNXX;AKTRLGN;AKTRLGN
Greenland;KRNLNTXX;GRNLND;GRNLND
Guyana;KYNXXXXX;GN;GN
Lithuania;L0NXXXXX;L0N;L0N
Mexico;MKSKXXXX;MKSK;MKSK
Norway;NRWXXXXX;NR;NR
Rwanda;RWNTXXXX;RND;RND
Swaziland;SWSLNTXX;SSLND;SSLND
Thailand;0LNTXXXX;TLND;TLND
United Arab Emirates;NTTRBMRT;ANTDRBMRTS;ANTDRBMRTS
Spain;SPNXXXXX;SPN;SPN
United Kingdom of Great Britain and Northern Ireland;NTTKNKTM;ANTDKNGDMFGRTBRTNNDNR0RNRLND;ANTDKNGDMFGRTBRTNNDNR0RNRLND
Iceland;SLNTXXXX;ASLND;ASLND
Kenya;KNYXXXXX;KN;KN
Lesotho;LS0XXXXX;LS0;LS0
Nigeria;NJRXXXXX;NJR;NGR
Palau;PLXXXXXX;PL;PL
Papua New Guinea;PPNKNXXX;PPNGN;PPNGN
Burkina Faso;BRKNFSXX;BRKNFS;BRKNFS
China;XNXXXXXX;XN;XN
Cambodia;KMBTXXXX;KMBD;KMBD
Lebanon;LBNNXXXX;LBNN;LBNN
Liechtenstein;LXTNSTNX;LKTNSTN;LXTNSTN
Paraguay;PRKXXXXX;PRG;PRG
Slovenia;SLFNXXXX;SLVN;XLVN
Tonga;TNKXXXXX;TNG;TNG
Turkey;TRKXXXXX;TRK;TRK
Tanzania,United Republic of;TNSNNTTR;TNSNNTDRPBLKF;TNSNNTDRPBLKF
Virgin Islands (British);FRJNSLNT;VRJNSLNDSBRTX;VRGNSLNDSBRTX
